,Gender,Event,Location,Year,Medal,Name,Nationality,Result,Type,Clean_Result
1505,M,400M,Tokyo,1964,S,Wendell MOTTLEY,TTO,45.2,seconds,45.2
1507,M,400M,Tokyo,1964,B,Andrzej BADENSKI,POL,45.6,seconds,45.6
1454,W,400M,Mexico,1968,G,Colette BESSON,FRA,52,seconds,52.0
1456,W,400M,Mexico,1968,S,Lillian BOARD,GBR,52.1,seconds,52.1
1457,W,400M,Mexico,1968,B,Natalya CHISTYAKOVA,URS,52.2,seconds,52.2
1471,M,400M,Mexico,1968,G,Lee EVANS,USA,43.8,seconds,43.8
1474,M,400M,Mexico,1968,S,Larry JAMES,USA,43.9,seconds,43.9
1484,M,400M,Mexico,1968,B,Ron FREEMAN,USA,44.4,seconds,44.4
1451,W,400M,Munich,1972,G,Monika ZEHRT,GDR,51.08,seconds,51.08
1452,W,400M,Munich,1972,S,Rita JAHN,FRG,51.21,seconds,51.21
1453,W,400M,Munich,1972,B,Kathleen HAMMOND,USA,51.64,seconds,51.64
1492,M,400M,Munich,1972,G,Vince MATTHEWS,USA,44.66,seconds,44.66
1497,M,400M,Munich,1972,S,Wayne COLLETT,USA,44.8,seconds,44.8
1502,M,400M,Munich,1972,B,Julius SANG,KEN,44.92,seconds,44.92
1430,W,400M,Montreal,1976,G,Irena KIRSZENSTEIN,POL,49.29,seconds,49.29
1449,W,400M,Montreal,1976,S,Christina BREHMER-LATHAN,GDR,50.51,seconds,50.51
1450,W,400M,Montreal,1976,B,Ellen STROPAHL-STREIDT,GDR,50.55,seconds,50.55
1480,M,400M,Montreal,1976,G,Alberto JUANTORENA,CUB,44.26,seconds,44.26
1483,M,400M,Montreal,1976,S,Frederick Vaughn NEWHOUSE,USA,44.4,seconds,44.4
1503,M,400M,Montreal,1976,B,Herman Ronald FRAZIER,USA,44.95,seconds,44.95
1425,W,400M,Moscow,1980,G,Marita KOCH,GDR,48.88,seconds,48.88
1434,W,400M,Moscow,1980,S,Jarmila KRATOHVILOVA,TCH,49.46,seconds,49.46
1441,W,400M,Moscow,1980,B,Christina BREHMER-LATHAN,GDR,49.66,seconds,49.66
1491,M,400M,Moscow,1980,G,Viktor MARKIN,URS,44.6,seconds,44.6
1498,M,400M,Moscow,1980,S,Rick MITCHELL,AUS,44.84,seconds,44.84
1499,M,400M,Moscow,1980,B,Frank SCHAFFER,GDR,44.87,seconds,44.87
1424,W,400M,Los Angeles,1984,G,Valerie BRISCO,USA,48.83,seconds,48.83
1427,W,400M,Los Angeles,1984,S,Chandra CHEESEBOROUGH,USA,49.05,seconds,49.05
1432,W,400M,Los Angeles,1984,B,Kathryn SMALLWOOD-COOK,GBR,49.42,seconds,49.42
1481,M,400M,Los Angeles,1984,G,Alonzo BABERS,USA,44.27,seconds,44.27
1490,M,400M,Los Angeles,1984,S,Gabriel TIACOH,CIV,44.54,seconds,44.54
1494,M,400M,Los Angeles,1984,B,Antonio MCKAY,USA,44.71,seconds,44.71
1423,W,400M,Barcelona,1992,G,Marie-JosÃ© PÃREC,FRA,48.83,seconds,48.83
1426,W,400M,Barcelona,1992,S,Olga BRYZGINA,EUN,49.05,seconds,49.05
1440,W,400M,Barcelona,1992,B,Ximena RESTREPO,COL,49.64,seconds,49.64
1468,M,400M,Barcelona,1992,G,Quincy WATTS,USA,43.5,seconds,43.5
1478,M,400M,Barcelona,1992,S,Steve LEWIS,USA,44.21,seconds,44.21
1479,M,400M,Barcelona,1992,B,Samson KITUR,KEN,44.24,seconds,44.24
1421,W,400M,Atlanta,1996,G,Marie-JosÃ© PÃREC,FRA,48.25,seconds,48.25
1422,W,400M,Atlanta,1996,S,Cathy FREEMAN,AUS,48.63,seconds,48.63
1428,W,400M,Atlanta,1996,B,Falilat OGUNKOYA,NGR,49.1,seconds,49.1
1467,M,400M,Atlanta,1996,G,Michael JOHNSON,USA,43.49,seconds,43.49
1485,M,400M,Atlanta,1996,S,Roger BLACK,GBR,44.41,seconds,44.41
1489,M,400M,Atlanta,1996,B,Davis KAMOGA,UGA,44.53,seconds,44.53
1429,W,400M,Sydney,2000,G,Cathy FREEMAN,AUS,49.11,seconds,49.11
1438,W,400M,Sydney,2000,S,Lorraine FENTON,JAM,49.58,seconds,49.58
1444,W,400M,Sydney,2000,B,Katharine MERRY,GBR,49.72,seconds,49.72
1472,M,400M,Sydney,2000,G,Michael JOHNSON,USA,43.84,seconds,43.84
1482,M,400M,Sydney,2000,S,Alvin HARRISON,USA,44.4,seconds,44.4
1493,M,400M,Sydney,2000,B,Greg HAUGHTON,JAM,44.7,seconds,44.7
1431,W,400M,Athens,2004,G,Tonique WILLIAMS-DARLING,BAH,49.41,seconds,49.41
1437,W,400M,Athens,2004,S,Ana GUEVARA,MEX,49.56,seconds,49.56
1447,W,400M,Athens,2004,B,Natalya ANTYUKH,RUS,49.89,seconds,49.89
1476,M,400M,Athens,2004,G,Jeremy WARINER,USA,44,seconds,44.0
1477,M,400M,Athens,2004,S,Otis HARRIS,USA,44.16,seconds,44.16
1486,M,400M,Athens,2004,B,Derrick BREW,USA,44.42,seconds,44.42
1439,W,400M,Beijing,2008,G,Christine OHURUOGU,GBR,49.62,seconds,49.62
1442,W,400M,Beijing,2008,S,Shericka WILLIAMS,JAM,49.69,seconds,49.69
1448,W,400M,Beijing,2008,B,Sanya RICHARDS-ROSS,USA,49.93,seconds,49.93
1469,M,400M,Beijing,2008,G,Lashawn MERRITT,USA,43.75,seconds,43.75
1495,M,400M,Beijing,2008,S,Jeremy WARINER,USA,44.74,seconds,44.74
1496,M,400M,Beijing,2008,B,David NEVILLE,USA,44.8,seconds,44.8
1436,W,400M,London,2012,G,Sanya RICHARDS-ROSS,USA,49.55,seconds,49.55
1443,W,400M,London,2012,S,Christine OHURUOGU,GBR,49.7,seconds,49.7
1445,W,400M,London,2012,B,DeeDee TROTTER,USA,49.72,seconds,49.72
1475,M,400M,London,2012,G,Kirani JAMES,GRN,43.94,seconds,43.94
1487,M,400M,London,2012,S,Luguelin SANTOS,DOM,44.46,seconds,44.46
1488,M,400M,London,2012,B,Lalonde GORDON,TTO,44.52,seconds,44.52
1433,W,400M,Rio,2016,G,Shaunae MILLER,BAH,49.44,seconds,49.44
1435,W,400M,Rio,2016,S,Allyson FELIX,USA,49.51,seconds,49.51
1446,W,400M,Rio,2016,B,Shericka JACKSON,JAM,49.85,seconds,49.85
1466,M,400M,Rio,2016,G,Wayde VAN NIEKERK,RSA,43.03,seconds,43.03
1470,M,400M,Rio,2016,S,Kirani JAMES,GRN,43.76,seconds,43.76
1473,M,400M,Rio,2016,B,Lashawn MERRITT,USA,43.85,seconds,43.85
1632,M,400M Hurdles,Paris,1900,G,Walter TEWKSBURY,USA,57.6,seconds,57.6
1633,M,400M Hurdles,Paris,1900,S,Henri TAUZIN,FRA,58.3,seconds,58.3
1622,M,400M Hurdles,St Louis,1904,G,Harry HILLMAN,USA,53,seconds,53.0
1623,M,400M Hurdles,St Louis,1904,S,Frank WALLER,USA,53.2,seconds,53.2
1631,M,400M Hurdles,London,1908,G,Charles BACON,USA,55,seconds,55.0
1563,M,400M Hurdles,Antwerp,1920,G,Frank LOOMIS,USA,00:54.0,seconds,54.0
1629,M,400M Hurdles,Antwerp,1920,S,John NORTON,USA,54.6,seconds,54.6
1630,M,400M Hurdles,Antwerp,1920,B,August DESCH,USA,54.7,seconds,54.7
1619,M,400M Hurdles,Paris,1924,G,Morgan TAYLOR,USA,52.6,seconds,52.6
1627,M,400M Hurdles,Paris,1924,S,Erkka WILEN,FIN,53.8,seconds,53.8
1628,M,400M Hurdles,Paris,1924,B,Ivan RILEY,USA,54.2,seconds,54.2
1624,M,400M Hurdles,Amsterdam,1928,G,David George BURGHLEY,GBR,53.4,seconds,53.4
1625,M,400M Hurdles,Amsterdam,1928,S,Frank CUHEL,USA,53.6,seconds,53.6
1626,M,400M Hurdles,Amsterdam,1928,B,Morgan TAYLOR,USA,53.6,seconds,53.6
1613,M,400M Hurdles,Los Angeles,1932,G,Robert Morton Newburgh TISDALL,IRL,51.8,seconds,51.8
1614,M,400M Hurdles,Los Angeles,1932,S,Glenn HARDIN,USA,51.9,seconds,51.9
1615,M,400M Hurdles,Los Angeles,1932,B,Morgan TAYLOR,USA,52,seconds,52.0
1618,M,400M Hurdles,Berlin,1936,G,Glenn HARDIN,USA,52.4,seconds,52.4
1620,M,400M Hurdles,Berlin,1936,S,John LOARING,CAN,52.7,seconds,52.7
1621,M,400M Hurdles,Berlin,1936,B,Miguel WHITE,PHI,52.8,seconds,52.8
1609,M,400M Hurdles,London,1948,G,Roy Braxton COCHRAN,USA,51.1,seconds,51.1
1612,M,400M Hurdles,London,1948,S,Duncan WHITE,SRI,51.8,seconds,51.8
1617,M,400M Hurdles,London,1948,B,Rune LARSSON,SWE,52.2,seconds,52.2
1607,M,400M Hurdles,Helsinki,1952,G,Charles Hewes Jr. MOORE,USA,50.8,seconds,50.8
1610,M,400M Hurdles,Helsinki,1952,S,Yury Nikolayevich LITUYEV,URS,51.3,seconds,51.3
1616,M,400M Hurdles,Helsinki,1952,B,John Macfarlane HOLLAND,NZL,52.2,seconds,52.2
1606,M,400M Hurdles,Melbourne / Stockholm,1956,G,Glenn DAVIS,USA,50.1,seconds,50.1
1608,M,400M Hurdles,Melbourne / Stockholm,1956,S,Eddie SOUTHERN,USA,50.8,seconds,50.8
1611,M,400M Hurdles,Melbourne / Stockholm,1956,B,Josh CULBREATH,USA,51.6,seconds,51.6
1599,M,400M Hurdles,Rome,1960,G,Glenn DAVIS,USA,49.3,seconds,49.3
1601,M,400M Hurdles,Rome,1960,S,Clifton Emmett CUSHMAN,USA,49.6,seconds,49.6
1603,M,400M Hurdles,Rome,1960,B,Richard HOWARD,USA,49.7,seconds,49.7
1602,M,400M Hurdles,Tokyo,1964,G,Warren (Rex) Jay CAWLEY,USA,49.6,seconds,49.6
1604,M,400M Hurdles,Tokyo,1964,S,John COOPER,GBR,50.1,seconds,50.1
1605,M,400M Hurdles,Tokyo,1964,B,Salvatore MORALE,ITA,50.1,seconds,50.1
1585,M,400M Hurdles,Mexico,1968,G,David HEMERY,GBR,48.1,seconds,48.1
1596,M,400M Hurdles,Mexico,1968,S,Gerhard HENNIGE,FRG,49,seconds,49.0
1597,M,400M Hurdles,Mexico,1968,B,John SHERWOOD,GBR,49,seconds,49.0
1579,M,400M Hurdles,Munich,1972,G,John AKII-BUA,UGA,47.82,seconds,47.82
1591,M,400M Hurdles,Munich,1972,S,Ralph MANN,USA,48.51,seconds,48.51
1592,M,400M Hurdles,Munich,1972,B,David HEMERY,GBR,48.52,seconds,48.52
1571,M,400M Hurdles,Montreal,1976,G,Edwin MOSES,USA,47.64,seconds,47.64
1593,M,400M Hurdles,Montreal,1976,S,Michael Lyle SHINE,USA,48.69,seconds,48.69
1600,M,400M Hurdles,Montreal,1976,B,Yevgeni GAVRILENKO,URS,49.45,seconds,49.45
1594,M,400M Hurdles,Moscow,1980,G,Volker BECK,GDR,48.7,seconds,48.7
1595,M,400M Hurdles,Moscow,1980,S,Vasili ARKHIPENKO,URS,48.86,seconds,48.86
1598,M,400M Hurdles,Moscow,1980,B,Gary OAKES,GBR,49.11,seconds,49.11
1560,W,400M Hurdles,Los Angeles,1984,G,Nawal EL MOUTAWAKEL,MAR,54.61,seconds,54.61
1561,W,400M Hurdles,Los Angeles,1984,S,Judi BROWN,USA,55.2,seconds,55.2
1562,W,400M Hurdles,Los Angeles,1984,B,Cristina COJOCARU,ROU,55.41,seconds,55.41
1574,M,400M Hurdles,Los Angeles,1984,G,Edwin MOSES,USA,47.75,seconds,47.75
1588,M,400M Hurdles,Los Angeles,1984,S,Danny HARRIS,USA,48.13,seconds,48.13
1589,M,400M Hurdles,Los Angeles,1984,B,Harald SCHMID,FRG,48.19,seconds,48.19
1548,W,400M Hurdles,Barcelona,1992,G,Sally GUNNELL,GBR,53.23,seconds,53.23
1555,W,400M Hurdles,Barcelona,1992,S,Sandra FARMER-PATRICK,USA,53.69,seconds,53.69
1559,W,400M Hurdles,Barcelona,1992,B,Janeene VICKERS,USA,54.31,seconds,54.31
1564,M,400M Hurdles,Barcelona,1992,G,Kevin YOUNG,USA,46.78,seconds,46.78
1572,M,400M Hurdles,Barcelona,1992,S,Winthrop GRAHAM,JAM,47.66,seconds,47.66
1578,M,400M Hurdles,Barcelona,1992,B,Kriss AKABUSI,GBR,47.82,seconds,47.82
1543,W,400M Hurdles,Atlanta,1996,G,Deon Marie HEMMINGS,JAM,52.82,seconds,52.82
1545,W,400M Hurdles,Atlanta,1996,S,Kim BATTEN,USA,53.08,seconds,53.08
1547,W,400M Hurdles,Atlanta,1996,B,Tonja BUFORD-BAILEY,USA,53.22,seconds,53.22
1568,M,400M Hurdles,Atlanta,1996,G,Derrick ADKINS,USA,47.54,seconds,47.54
1576,M,400M Hurdles,Atlanta,1996,S,Samuel MATETE,ZAM,47.78,seconds,47.78
1582,M,400M Hurdles,Atlanta,1996,B,Calvin DAVIS,USA,47.96,seconds,47.96
1544,W,400M Hurdles,Sydney,2000,G,Irina PRIVALOVA,RUS,53.02,seconds,53.02
1552,W,400M Hurdles,Sydney,2000,S,Deon Marie HEMMINGS,JAM,53.45,seconds,53.45
1554,W,400M Hurdles,Sydney,2000,B,Nezha BIDOUANE,MAR,53.57,seconds,53.57
1566,M,400M Hurdles,Sydney,2000,G,Angelo TAYLOR,USA,47.5,seconds,47.5
1567,M,400M Hurdles,Sydney,2000,S,Hadi Soua An AL SOMAILY,KSA,47.53,seconds,47.53
1577,M,400M Hurdles,Sydney,2000,B,Llewellyn HERBERT,RSA,47.81,seconds,47.81
1542,W,400M Hurdles,Athens,2004,G,Fani KHALKIA,GRE,52.82,seconds,52.82
1550,W,400M Hurdles,Athens,2004,S,Ionela TIRLEA,ROU,53.38,seconds,53.38
1551,W,400M Hurdles,Athens,2004,B,Tetyana TERESHCHUK,UKR,53.44,seconds,53.44
1570,M,400M Hurdles,Athens,2004,G,Felix SANCHEZ,DOM,47.63,seconds,47.63
1587,M,400M Hurdles,Athens,2004,S,Danny MCFARLANE,JAM,48.11,seconds,48.11
1590,M,400M Hurdles,Athens,2004,B,Naman KEITA,FRA,48.26,seconds,48.26
1539,W,400M Hurdles,Beijing,2008,G,Melaine WALKER,JAM,52.64,seconds,52.64
1556,W,400M Hurdles,Beijing,2008,S,Sheena TOSTA,USA,53.7,seconds,53.7
1558,W,400M Hurdles,Beijing,2008,B,Natasha DANVERS,GBR,53.84,seconds,53.84
1565,M,400M Hurdles,Beijing,2008,G,Angelo TAYLOR,USA,47.25,seconds,47.25
1583,M,400M Hurdles,Beijing,2008,S,Kerron CLEMENT,USA,47.98,seconds,47.98
1584,M,400M Hurdles,Beijing,2008,B,Bershawn JACKSON,USA,48.06,seconds,48.06
1540,W,400M Hurdles,London,2012,G,Natalya ANTYUKH,RUS,52.7,seconds,52.7
1541,W,400M Hurdles,London,2012,S,Lashinda DEMUS,USA,52.77,seconds,52.77
1549,W,400M Hurdles,London,2012,B,Zuzana HEJNOVA,CZE,53.38,seconds,53.38
1569,M,400M Hurdles,London,2012,G,Felix SANCHEZ,DOM,47.63,seconds,47.63
1580,M,400M Hurdles,London,2012,S,Michael TINSLEY,USA,47.91,seconds,47.91
1586,M,400M Hurdles,London,2012,B,Javier CULSON,PUR,48.1,seconds,48.1
1546,W,400M Hurdles,Rio,2016,G,Dalilah MUHAMMAD,USA,53.13,seconds,53.13
1553,W,400M Hurdles,Rio,2016,S,Sara Slott PETERSEN,DEN,53.55,seconds,53.55
1557,W,400M Hurdles,Rio,2016,B,Ashley SPENCER,USA,53.72,seconds,53.72
1573,M,400M Hurdles,Rio,2016,G,Kerron CLEMENT,USA,47.73,seconds,47.73
1575,M,400M Hurdles,Rio,2016,S,Boniface MUCHERU,KEN,47.78,seconds,47.78
1581,M,400M Hurdles,Rio,2016,B,Yasmani COPELLO,TUR,47.92,seconds,47.92
1357,M,4X100M Relay,Stockholm,1912,G,,GBR,00:42.4,seconds,42.4
1359,M,4X100M Relay,Stockholm,1912,S,,SWE,00:42.6,seconds,42.6
1356,M,4X100M Relay,Antwerp,1920,G,,USA,00:42.2,seconds,42.2
1358,M,4X100M Relay,Antwerp,1920,S,,FRA,00:42.6,seconds,42.6
1360,M,4X100M Relay,Antwerp,1920,B,,SWE,00:42.9,seconds,42.9
1413,M,4X100M Relay,Paris,1924,G,,USA,41,seconds,41.0
1417,M,4X100M Relay,Paris,1924,S,,GBR,41.2,seconds,41.2
1420,M,4X100M Relay,Paris,1924,B,,NED,41.8,seconds,41.8
1355,W,4X100M Relay,Amsterdam,1928,G,,CAN,48.4,seconds,48.4
1412,M,4X100M Relay,Amsterdam,1928,G,,USA,41,seconds,41.0
1347,W,4X100M Relay,Los Angeles,1932,G,,USA,47,seconds,47.0
1348,W,4X100M Relay,Los Angeles,1932,S,,CAN,47,seconds,47.0
1352,W,4X100M Relay,Los Angeles,1932,B,,GBR,47.6,seconds,47.6
1403,M,4X100M Relay,Los Angeles,1932,G,,USA,40,seconds,40.0
1411,M,4X100M Relay,Los Angeles,1932,S,,GER,40.9,seconds,40.9
1416,M,4X100M Relay,Los Angeles,1932,B,,ITA,41.2,seconds,41.2
1346,W,4X100M Relay,Berlin,1936,G,,USA,46.9,seconds,46.9
1350,W,4X100M Relay,Berlin,1936,S,,GBR,47.6,seconds,47.6
1353,W,4X100M Relay,Berlin,1936,B,,CAN,47.8,seconds,47.8
1401,M,4X100M Relay,Berlin,1936,G,,USA,39.8,seconds,39.8
1414,M,4X100M Relay,Berlin,1936,S,,ITA,41.1,seconds,41.1
1415,M,4X100M Relay,Berlin,1936,B,,GER,41.2,seconds,41.2
1349,W,4X100M Relay,London,1948,G,,NED,47.5,seconds,47.5
1351,W,4X100M Relay,London,1948,S,,AUS,47.6,seconds,47.6
1354,W,4X100M Relay,London,1948,B,,CAN,47.8,seconds,47.8
1410,M,4X100M Relay,London,1948,G,,USA,40.6,seconds,40.6
1418,M,4X100M Relay,London,1948,S,,GBR,41.3,seconds,41.3
1419,M,4X100M Relay,London,1948,B,,ITA,41.5,seconds,41.5
1343,W,4X100M Relay,Helsinki,1952,G,,USA,45.9,seconds,45.9
1344,W,4X100M Relay,Helsinki,1952,S,,GER,45.9,seconds,45.9
1345,W,4X100M Relay,Helsinki,1952,B,,GBR,46.2,seconds,46.2
1405,M,4X100M Relay,Helsinki,1952,G,,USA,40.1,seconds,40.1
1407,M,4X100M Relay,Helsinki,1952,S,,URS,40.3,seconds,40.3
1409,M,4X100M Relay,Helsinki,1952,B,,HUN,40.5,seconds,40.5
1338,W,4X100M Relay,Melbourne / Stockholm,1956,G,,AUS,44.5,seconds,44.5
1339,W,4X100M Relay,Melbourne / Stockholm,1956,S,,GBR,44.7,seconds,44.7
1341,W,4X100M Relay,Melbourne / Stockholm,1956,B,,USA,44.9,seconds,44.9
1400,M,4X100M Relay,Melbourne / Stockholm,1956,G,,USA,39.5,seconds,39.5
1402,M,4X100M Relay,Melbourne / Stockholm,1956,S,,URS,39.8,seconds,39.8
1408,M,4X100M Relay,Melbourne / Stockholm,1956,B,,EUA,40.3,seconds,40.3
1337,W,4X100M Relay,Rome,1960,G,,USA,44.5,seconds,44.5
1340,W,4X100M Relay,Rome,1960,S,,EUA,44.8,seconds,44.8
1342,W,4X100M Relay,Rome,1960,B,,POL,45,seconds,45.0
1399,M,4X100M Relay,Rome,1960,G,,EUA,39.5,seconds,39.5
1404,M,4X100M Relay,Rome,1960,S,,URS,40.1,seconds,40.1
1406,M,4X100M Relay,Rome,1960,B,,GBR,40.2,seconds,40.2
1334,W,4X100M Relay,Tokyo,1964,G,,POL,43.6,seconds,43.6
1335,W,4X100M Relay,Tokyo,1964,S,,USA,43.9,seconds,43.9
1336,W,4X100M Relay,Tokyo,1964,B,,GBR,44,seconds,44.0
1396,M,4X100M Relay,Tokyo,1964,G,,USA,39,seconds,39.0
1397,M,4X100M Relay,Tokyo,1964,S,,POL,39.3,seconds,39.3
1398,M,4X100M Relay,Tokyo,1964,B,,FRA,39.3,seconds,39.3
1323,W,4X100M Relay,Mexico,1968,G,,USA,42.8,seconds,42.8
1331,W,4X100M Relay,Mexico,1968,S,,CUB,43.3,seconds,43.3
1333,W,4X100M Relay,Mexico,1968,B,,URS,43.4,seconds,43.4
1381,M,4X100M Relay,Mexico,1968,G,,USA,38.2,seconds,38.2
1384,M,4X100M Relay,Mexico,1968,S,,CUB,38.3,seconds,38.3
1387,M,4X100M Relay,Mexico,1968,B,,FRA,38.4,seconds,38.4
1325,W,4X100M Relay,Munich,1972,G,,FRG,42.81,seconds,42.81
1326,W,4X100M Relay,Munich,1972,S,,GDR,42.95,seconds,42.95
1332,W,4X100M Relay,Munich,1972,B,,CUB,43.36,seconds,43.36
1380,M,4X100M Relay,Munich,1972,G,,USA,38.19,seconds,38.19
1389,M,4X100M Relay,Munich,1972,S,,URS,38.5,seconds,38.5
1395,M,4X100M Relay,Munich,1972,B,,FRG,38.79,seconds,38.79
1320,W,4X100M Relay,Montreal,1976,G,,GDR,42.55,seconds,42.55
1321,W,4X100M Relay,Montreal,1976,S,,FRG,42.59,seconds,42.59
1328,W,4X100M Relay,Montreal,1976,B,,URS,43.09,seconds,43.09
1385,M,4X100M Relay,Montreal,1976,G,,USA,38.33,seconds,38.33
1392,M,4X100M Relay,Montreal,1976,S,,GDR,38.66,seconds,38.66
1394,M,4X100M Relay,Montreal,1976,B,,URS,38.78,seconds,38.78
1302,W,4X100M Relay,Moscow,1980,G,,GDR,41.6,seconds,41.6
1309,W,4X100M Relay,Moscow,1980,S,,URS,42.1,seconds,42.1
1317,W,4X100M Relay,Moscow,1980,B,,GBR,42.43,seconds,42.43
1383,M,4X100M Relay,Moscow,1980,G,,URS,38.26,seconds,38.26
1386,M,4X100M Relay,Moscow,1980,S,,POL,38.33,seconds,38.33
1390,M,4X100M Relay,Moscow,1980,B,,FRA,38.53,seconds,38.53
1303,W,4X100M Relay,Los Angeles,1984,G,,USA,41.65,seconds,41.65
1322,W,4X100M Relay,Los Angeles,1984,S,,CAN,42.77,seconds,42.77
1329,W,4X100M Relay,Los Angeles,1984,B,,GBR,43.11,seconds,43.11
1368,M,4X100M Relay,Los Angeles,1984,G,,USA,37.83,seconds,37.83
1391,M,4X100M Relay,Los Angeles,1984,S,,JAM,38.62,seconds,38.62
1393,M,4X100M Relay,Los Angeles,1984,B,,CAN,38.7,seconds,38.7
1310,W,4X100M Relay,Barcelona,1992,G,,USA,42.11,seconds,42.11
1313,W,4X100M Relay,Barcelona,1992,S,,EUN,42.16,seconds,42.16
1324,W,4X100M Relay,Barcelona,1992,B,,NGR,42.81,seconds,42.81
1363,M,4X100M Relay,Barcelona,1992,G,,USA,37.4,seconds,37.4
1370,M,4X100M Relay,Barcelona,1992,S,,NGR,37.98,seconds,37.98
1371,M,4X100M Relay,Barcelona,1992,B,,CUB,38,seconds,38.0
1307,W,4X100M Relay,Atlanta,1996,G,,USA,41.95,seconds,41.95
1312,W,4X100M Relay,Atlanta,1996,S,,BAH,42.14,seconds,42.14
1315,W,4X100M Relay,Atlanta,1996,B,,JAM,42.24,seconds,42.24
1367,M,4X100M Relay,Atlanta,1996,G,,CAN,37.69,seconds,37.69
1373,M,4X100M Relay,Atlanta,1996,S,,USA,38.05,seconds,38.05
1388,M,4X100M Relay,Atlanta,1996,B,,BRA,38.41,seconds,38.41
1306,W,4X100M Relay,Sydney,2000,G,,BAH,41.95,seconds,41.95
1311,W,4X100M Relay,Sydney,2000,S,,JAM,42.13,seconds,42.13
1314,W,4X100M Relay,Sydney,2000,B,,USA,42.2,seconds,42.2
1365,M,4X100M Relay,Sydney,2000,G,,USA,37.61,seconds,37.61
1369,M,4X100M Relay,Sydney,2000,S,,BRA,37.9,seconds,37.9
1372,M,4X100M Relay,Sydney,2000,B,,CUB,38.04,seconds,38.04
1304,W,4X100M Relay,Athens,2004,G,,JAM,41.73,seconds,41.73
1316,W,4X100M Relay,Athens,2004,S,,RUS,42.27,seconds,42.27
1319,W,4X100M Relay,Athens,2004,B,,FRA,42.54,seconds,42.54
1375,M,4X100M Relay,Athens,2004,G,,GBR,38.07,seconds,38.07
1376,M,4X100M Relay,Athens,2004,S,,USA,38.08,seconds,38.08
1382,M,4X100M Relay,Athens,2004,B,,NGR,38.23,seconds,38.23
1318,W,4X100M Relay,Beijing,2008,G,,BEL,42.54,seconds,42.54
1327,W,4X100M Relay,Beijing,2008,S,,NGR,43.04,seconds,43.04
1330,W,4X100M Relay,Beijing,2008,B,,BRA,43.14,seconds,43.14
1374,M,4X100M Relay,Beijing,2008,S,,TTO,38.06,seconds,38.06
1378,M,4X100M Relay,Beijing,2008,B,,JPN,38.15,seconds,38.15
1298,W,4X100M Relay,London,2012,G,,USA,40.82,seconds,40.82
1301,W,4X100M Relay,London,2012,S,,JAM,41.41,seconds,41.41
1308,W,4X100M Relay,London,2012,B,,UKR,42.04,seconds,42.04
1361,M,4X100M Relay,London,2012,G,,JAM,36.84,seconds,36.84
1377,M,4X100M Relay,London,2012,S,,TTO,38.12,seconds,38.12
1379,M,4X100M Relay,London,2012,B,,FRA,38.16,seconds,38.16
1299,W,4X100M Relay,Rio,2016,G,,USA,41.01,seconds,41.01
1300,W,4X100M Relay,Rio,2016,S,,JAM,41.36,seconds,41.36
1305,W,4X100M Relay,Rio,2016,B,,GBR,41.77,seconds,41.77
1362,M,4X100M Relay,Rio,2016,G,,JAM,37.27,seconds,37.27
1364,M,4X100M Relay,Rio,2016,S,,JPN,37.6,seconds,37.6
1366,M,4X100M Relay,Rio,2016,B,,CAN,37.64,seconds,37.64
1297,M,4X400M Relay,London,1908,G,,USA,03:29.4,seconds,209.4
1289,M,4X400M Relay,Stockholm,1912,G,,USA,03:16.6,seconds,196.6
1292,M,4X400M Relay,Stockholm,1912,S,,FRA,03:20.7,seconds,200.7
1295,M,4X400M Relay,Stockholm,1912,B,,GBR,03:23.2,seconds,203.2
1293,M,4X400M Relay,Antwerp,1920,G,,GBR,03:22.2,seconds,202.2
1294,M,4X400M Relay,Antwerp,1920,S,,RSA,03:23.0,seconds,203.0
1296,M,4X400M Relay,Antwerp,1920,B,,FRA,03:23.5,seconds,203.5
1288,M,4X400M Relay,Paris,1924,G,,USA,03:16.0,seconds,196.0
1290,M,4X400M Relay,Paris,1924,S,,SWE,03:17.0,seconds,197.0
1291,M,4X400M Relay,Paris,1924,B,,GBR,03:17.4,seconds,197.4
1285,M,4X400M Relay,Amsterdam,1928,G,,USA,03:14.2,seconds,194.2
1278,M,4X400M Relay,Los Angeles,1932,G,,USA,03:08.2,seconds,188.2
1282,M,4X400M Relay,Los Angeles,1932,S,,GBR,03:11.2,seconds,191.2
1284,M,4X400M Relay,Los Angeles,1932,B,,CAN,03:12.8,seconds,192.8
1279,M,4X400M Relay,Berlin,1936,G,,GBR,03:09.0,seconds,189.0
1281,M,4X400M Relay,Berlin,1936,S,,USA,03:11.0,seconds,191.0
1283,M,4X400M Relay,Berlin,1936,B,,GER,03:11.8,seconds,191.8
1280,M,4X400M Relay,London,1948,G,,USA,03:10.4,seconds,190.4
1286,M,4X400M Relay,London,1948,S,,FRA,03:14.8,seconds,194.8
1287,M,4X400M Relay,London,1948,B,,SWE,03:16.0,seconds,196.0
1270,M,4X400M Relay,Helsinki,1952,G,,JAM,03:03.9,seconds,183.9
1272,M,4X400M Relay,Helsinki,1952,S,,USA,03:04.0,seconds,184.0
1276,M,4X400M Relay,Helsinki,1952,B,,GER,03:06.6,seconds,186.6
1274,M,4X400M Relay,Melbourne / Stockholm,1956,G,,USA,03:04.8,seconds,184.8
1275,M,4X400M Relay,Melbourne / Stockholm,1956,S,,AUS,03:06.2,seconds,186.2
